City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bubaque,GW,11.2833,-15.8333,74.26,61,72,19.46,broken clouds
1,Punta Arenas,CL,-53.15,-70.9167,48.31,71,100,14.97,overcast clouds
2,Cape Town,ZA,-33.9258,18.4232,78.12,71,0,1.14,clear sky
3,Hithadhoo,MV,-0.6,73.0833,83.03,74,15,7.49,few clouds
4,Tatahuicapan,MX,18.2333,-94.75,67.08,92,5,3.83,clear sky
5,Fortuna,US,40.5982,-124.1573,47.77,77,100,8.37,overcast clouds
6,Jamestown,US,42.097,-79.2353,24.12,66,20,11.5,few clouds
7,Khatanga,RU,71.9667,102.5,-11.54,96,99,2.71,overcast clouds
8,Pallasovka,RU,50.05,46.8833,34.56,100,100,13.06,light snow
9,East London,ZA,-33.0153,27.9116,70.68,89,100,15.84,light rain
10,Deputatskiy,RU,69.3,139.9,-8.86,94,100,4.94,overcast clouds
11,Busselton,AU,-33.65,115.3333,85.05,38,16,12.55,few clouds
12,Alofi,NU,-19.0595,-169.9187,81.1,77,100,11.95,overcast clouds
13,Hermanus,ZA,-34.4187,19.2345,70.95,79,2,11.23,clear sky
14,Touros,BR,-5.1989,-35.4608,79.45,76,52,13.38,broken clouds
15,Puerto Narino,CO,-3.7703,-70.3831,71.47,99,97,1.97,overcast clouds
16,Avera,US,33.194,-82.5271,58.44,54,76,6.04,broken clouds
17,Saint-Philippe,RE,-21.3585,55.7679,80.06,77,96,7.96,overcast clouds
18,Albany,US,42.6001,-73.9662,15.28,92,18,4.38,few clouds
19,Upernavik,GL,72.7868,-56.1549,-12.19,99,100,9.73,overcast clouds
20,Mataura,NZ,-46.1927,168.8643,59.97,49,3,4.29,clear sky
21,Tiksi,RU,71.6872,128.8694,-12.3,99,100,4.12,overcast clouds
22,Alice Springs,AU,-23.7,133.8833,96.35,43,11,11.5,few clouds
23,Semnan,IR,35.5729,53.3971,52.83,49,34,4.43,scattered clouds
24,Ushuaia,AR,-54.8,-68.3,40.98,88,98,5.82,overcast clouds
25,New Norfolk,AU,-42.7826,147.0587,69.3,68,99,1.01,overcast clouds
26,Tullamore,IE,53.2739,-7.4889,45.84,76,88,13.6,overcast clouds
27,Chumikan,RU,54.7183,135.315,8.8,63,37,8.43,scattered clouds
28,San Patricio,US,28.017,-97.5169,43.5,88,100,10.78,overcast clouds
29,Cabo San Lucas,MX,22.8909,-109.9124,67.66,62,95,4.92,overcast clouds
30,Rikitea,PF,-23.1203,-134.9692,79.63,70,100,7.47,overcast clouds
31,Tucuma,BR,-0.1833,-50.05,75.51,94,88,5.1,overcast clouds
32,Port Elizabeth,ZA,-33.918,25.5701,73.09,94,100,12.66,overcast clouds
33,Cidreira,BR,-30.1811,-50.2056,76.41,90,25,19.33,scattered clouds
34,Puerto Ayora,EC,-0.7393,-90.3518,75.54,91,73,4.0,broken clouds
35,Ekhabi,RU,53.5102,142.9671,7.56,77,83,11.39,broken clouds
36,Esso,RU,55.9333,158.7,11.75,92,99,3.58,overcast clouds
37,Kodiak,US,57.79,-152.4072,35.35,84,13,5.37,few clouds
38,Pevek,RU,69.7008,170.3133,3.29,96,100,6.91,overcast clouds
39,Haines Junction,CA,60.7522,-137.5108,22.57,98,100,2.15,overcast clouds
40,Klaksvik,FO,62.2266,-6.589,40.32,78,100,22.24,overcast clouds
41,Verkhnevilyuysk,RU,63.4453,120.3167,4.15,84,100,4.43,overcast clouds
42,Airai,TL,-8.9266,125.4092,70.9,65,100,6.67,overcast clouds
43,Allen,US,41.0706,-85.0144,21.16,87,25,10.87,scattered clouds
44,Yulara,AU,-25.2406,130.9889,100.24,17,0,14.97,clear sky
45,Castro,BR,-24.7911,-50.0119,63.21,99,20,4.68,few clouds
46,Sibu,MY,2.3,111.8167,87.37,61,98,3.58,overcast clouds
47,Hobart,AU,-42.8794,147.3294,65.68,86,99,4.63,overcast clouds
48,Raga,SS,8.4596,25.678,72.99,20,40,7.02,scattered clouds
49,Bose,IT,45.4612,8.0137,34.27,61,56,4.25,broken clouds
50,Komsomolskiy,UZ,40.4272,71.7189,53.02,46,0,2.3,haze
51,Nikolskoye,RU,59.7035,30.7861,15.69,99,68,2.59,broken clouds
52,Sechura,PE,-5.5569,-80.8222,74.66,68,100,6.22,overcast clouds
53,Provideniya,RU,64.3833,-173.3,31.1,97,100,30.47,snow
54,Bay Roberts,CA,47.5999,-53.2648,16.03,54,72,11.5,broken clouds
55,Lake Charles,US,30.2131,-93.2044,43.14,92,100,8.12,overcast clouds
56,Bengkulu,ID,-3.8004,102.2655,85.57,61,99,7.49,overcast clouds
57,Lompoc,US,34.6391,-120.4579,48.34,48,56,4.79,broken clouds
58,Hilo,US,19.7297,-155.09,73.0,76,34,7.07,scattered clouds
59,Dera Ghazi Khan,PK,30.0561,70.6348,70.3,41,5,8.3,clear sky
60,Almaznyy,RU,48.0448,40.045,31.71,92,100,15.57,overcast clouds
61,Antofagasta,CL,-23.65,-70.4,66.36,82,53,2.68,broken clouds
62,Madimba,TZ,-10.4,40.3333,78.84,88,100,4.47,light rain
63,Namibe,AO,-15.1961,12.1522,74.79,80,84,5.95,broken clouds
64,Yellowknife,CA,62.456,-114.3525,-27.29,99,10,4.72,clear sky
65,Limoeiro Do Norte,BR,-5.1456,-38.0981,75.6,78,87,4.41,overcast clouds
66,Moose Factory,CA,51.2585,-80.6094,6.82,92,73,10.31,broken clouds
67,Barrow,US,71.2906,-156.7887,0.5,89,96,17.34,overcast clouds
68,Vilhena,BR,-12.7406,-60.1458,69.26,95,100,0.85,overcast clouds
69,Road Town,VG,18.4167,-64.6167,76.6,77,2,13.58,clear sky
70,Bethel,US,41.3712,-73.414,23.0,74,8,4.41,clear sky
71,Katsuura,JP,35.1333,140.3,56.88,39,1,15.05,clear sky
72,Karratha,AU,-20.7377,116.8463,98.11,36,16,12.24,few clouds
73,Enumclaw,US,47.2043,-121.9915,40.71,93,100,1.99,light rain
74,Wiarton,CA,44.7407,-81.1332,25.5,87,98,21.03,overcast clouds
75,Atuona,PF,-9.8,-139.0333,78.64,76,35,16.24,scattered clouds
76,Mount Gambier,AU,-37.8333,140.7667,63.41,89,100,9.6,overcast clouds
77,Santa Barbara,US,34.7333,-120.0343,43.92,37,53,6.49,broken clouds
78,Ondjiva,AO,-17.0667,15.7333,68.36,75,31,5.39,scattered clouds
79,Say,NE,13.1007,2.3689,73.96,13,22,10.0,few clouds
80,Geraldton,AU,-28.7667,114.6,82.81,51,0,19.57,clear sky
81,Kaka,TM,37.3482,59.6143,56.75,71,100,13.96,overcast clouds
82,Lagoa,PT,39.05,-27.9833,61.34,85,100,34.4,overcast clouds
83,Atar,MR,20.5169,-13.0499,60.12,54,10,9.15,clear sky
84,Bluff,NZ,-46.6,168.3333,53.13,64,2,16.71,clear sky
85,Thompson,CA,55.7435,-97.8558,-19.1,97,21,5.19,few clouds
86,Tasiilaq,GL,65.6145,-37.6368,18.23,73,100,33.4,overcast clouds
87,Portland,US,45.5234,-122.6762,39.38,90,100,3.96,light rain
88,Dingle,PH,10.9995,122.6711,86.76,57,53,16.8,broken clouds
89,Yenagoa,NG,4.9247,6.2642,77.95,90,31,2.84,scattered clouds
90,Bheramara,BD,24.0232,88.9925,83.8,30,0,3.38,clear sky
91,Vila Velha,BR,-20.3297,-40.2925,75.15,94,0,3.44,clear sky
92,Muros,ES,42.7762,-9.0603,51.15,83,65,7.45,broken clouds
93,Lorengau,PG,-2.0226,147.2712,77.5,86,100,11.36,overcast clouds
94,Bambous Virieux,MU,-20.3428,57.7575,80.35,75,90,7.07,light rain
95,Arroio Grande,BR,-32.2375,-53.0869,73.06,94,71,9.69,broken clouds
96,Manyana,BW,-23.4,21.7167,74.32,46,36,12.17,scattered clouds
97,Cherskiy,RU,68.75,161.3,-2.67,98,100,11.95,snow
98,Avarua,CK,-21.2078,-159.775,81.1,78,92,6.24,overcast clouds
99,Tytuvenai,LT,55.6,23.2,21.11,90,27,5.68,scattered clouds
100,Saint-Leu,RE,-21.15,55.2833,81.46,74,83,1.03,light rain
101,Hovd,MN,48.0056,91.6419,17.19,60,64,3.98,broken clouds
102,Vaini,TO,-21.2,-175.2,82.38,74,99,4.03,light rain
103,Kloulklubed,PW,7.0419,134.2556,81.77,79,56,15.9,broken clouds
104,Pisco,PE,-13.7,-76.2167,68.05,88,20,3.44,mist
105,Luwuk,ID,-0.9516,122.7875,86.45,66,97,0.38,overcast clouds
106,Rio Grande,BR,-32.035,-52.0986,75.94,93,84,14.58,broken clouds
107,Victoria,HK,22.2855,114.1577,67.59,75,27,12.82,scattered clouds
108,Praya,CV,14.9215,-23.5087,67.24,69,36,21.59,scattered clouds
109,Faanui,PF,-16.4833,-151.75,81.46,77,7,16.15,light rain
110,Severo-Kurilsk,RU,50.6789,156.125,31.35,84,99,4.47,overcast clouds
111,Metro,ID,-5.1131,105.3067,89.71,52,46,4.25,scattered clouds
112,Chokurdakh,RU,70.6333,147.9167,-10.48,100,88,6.67,overcast clouds
113,Qaqortoq,GL,60.7167,-46.0333,4.1,79,100,0.6,overcast clouds
114,Esperance,AU,-33.8667,121.9,77.0,62,0,25.81,clear sky
115,Umm Kaddadah,SD,13.6017,26.6876,65.68,19,0,16.8,clear sky
116,Vila Franca Do Campo,PT,37.7167,-25.4333,61.0,91,75,15.95,broken clouds
117,Cururupu,BR,-1.8283,-44.8683,74.88,95,47,2.24,scattered clouds
118,Revelstoke,CA,50.9832,-118.2023,28.42,93,100,0.0,light snow
119,Port Macquarie,AU,-31.4333,152.9167,71.38,88,100,10.54,light rain
120,Butaritari,KI,3.0707,172.7902,82.27,81,55,16.78,light rain
121,Kapaa,US,22.0752,-159.319,76.98,76,55,6.26,broken clouds
122,Kuah,MY,6.3265,99.8432,85.98,62,20,16.11,few clouds
123,Suhbaatar,MN,50.2314,106.2078,25.5,68,100,6.98,overcast clouds
124,Saint George,US,37.1041,-113.5841,38.3,44,3,4.76,clear sky
125,Kuching,MY,1.55,110.3333,84.94,66,98,5.84,overcast clouds
126,Hambantota,LK,6.1241,81.1185,89.31,51,17,18.43,few clouds
127,Sangar,RU,63.9242,127.4739,-4.74,93,99,3.24,overcast clouds
128,Kaitangata,NZ,-46.2817,169.8464,52.59,60,2,6.42,clear sky
129,Ribeira Grande,PT,38.5167,-28.7,62.29,87,91,29.06,overcast clouds
130,Goderich,CA,43.7501,-81.7165,26.08,82,99,23.82,overcast clouds
131,Sili,CN,28.4,117.1667,64.54,56,6,3.2,clear sky
132,Manta,EC,-0.95,-80.7333,75.74,87,100,2.42,light rain
133,Mandeville,JM,18.0417,-77.5071,62.6,93,9,3.76,clear sky
134,Novobiryusinskiy,RU,56.9578,97.7076,21.06,93,100,10.71,light snow
135,Divnomorskoye,RU,44.5011,38.1353,45.07,83,100,4.38,overcast clouds
136,Isangel,VU,-19.55,169.2667,78.22,90,100,14.47,overcast clouds
137,Bakchar,RU,57.0186,82.0711,26.29,85,88,10.8,overcast clouds
138,Qaanaaq,GL,77.484,-69.3632,-9.44,56,1,9.15,clear sky
139,Mahebourg,MU,-20.4081,57.7,80.37,74,85,6.85,light rain
140,Camopi,GF,3.1655,-52.3158,71.44,100,100,1.23,overcast clouds
141,Tuktoyaktuk,CA,69.4541,-133.0374,-16.28,93,7,11.34,clear sky
142,Vylkove,UA,45.4021,29.586,38.14,73,16,13.78,few clouds
143,Miyako,JP,39.6367,141.9525,45.52,67,75,17.76,broken clouds
144,Hasaki,JP,35.7333,140.8333,56.89,34,10,25.05,clear sky
145,Kalmunai,LK,7.4167,81.8167,83.43,64,12,14.32,few clouds
146,Camacha,PT,33.0833,-16.3333,56.62,63,75,10.36,broken clouds
147,Edd,ER,13.9297,41.6925,77.45,81,90,11.81,overcast clouds
148,Khandyga,RU,62.6667,135.6,-5.08,88,100,3.13,overcast clouds
149,Dikson,RU,73.5069,80.5464,1.62,99,100,8.3,overcast clouds
150,Pauini,BR,-7.7136,-66.9764,71.04,99,86,1.79,overcast clouds
151,Santa Maria,BR,-29.6842,-53.8069,75.33,68,0,5.01,clear sky
152,Alihe,CN,50.5667,123.7167,24.42,43,43,9.48,scattered clouds
153,Constitucion,CL,-35.3333,-72.4167,55.33,86,0,7.67,clear sky
154,Aginskoye,RU,51.1,114.53,25.52,72,74,16.6,broken clouds
155,Gasa,PS,31.5,34.4667,55.38,77,21,4.56,few clouds
156,Sitka,US,57.0531,-135.33,38.03,93,100,8.63,light rain
157,Muana,BR,-1.5283,-49.2167,74.48,97,99,3.36,overcast clouds
158,Jumla,NP,29.2747,82.1838,47.48,41,100,6.91,overcast clouds
159,Mar Del Plata,AR,-38.0023,-57.5575,68.86,95,60,6.04,broken clouds
160,Tilichiki,RU,60.4667,166.1,13.19,86,100,8.59,overcast clouds
161,Narsaq,GL,60.9167,-46.05,3.61,89,100,1.12,overcast clouds
162,Canavieiras,BR,-15.675,-38.9472,73.4,88,8,1.1,clear sky
163,Santiago De Compostela,ES,42.8805,-8.5457,49.15,93,40,4.61,scattered clouds
164,Sengiley,RU,53.9622,48.7944,33.46,99,100,5.41,light snow
165,Ancud,CL,-41.8697,-73.8203,53.13,88,92,25.05,moderate rain
166,Grindavik,IS,63.8424,-22.4338,35.17,57,94,17.67,light snow
167,Faya,SA,18.3851,42.4509,59.52,47,97,4.47,overcast clouds
168,Sao Filipe,CV,14.8961,-24.4956,68.23,67,3,15.21,clear sky
169,Balkanabat,TM,39.5108,54.3671,58.28,54,100,12.33,overcast clouds
170,Komyshnya,UA,50.1859,33.684,33.64,68,100,9.33,overcast clouds
171,Linxia,CN,35.6003,103.2064,42.89,35,37,7.09,scattered clouds
172,Shimoda,JP,34.6667,138.95,57.56,45,6,30.24,clear sky
173,Gat,IL,31.61,34.7642,56.39,100,34,3.47,scattered clouds
174,Chuy,UY,-33.6971,-53.4616,72.5,93,90,5.3,moderate rain
175,Fayaoue,NC,-20.65,166.5333,79.9,89,100,23.02,overcast clouds
176,Georgetown,MY,5.4112,100.3354,80.92,78,94,5.26,moderate rain
177,Saldanha,ZA,-33.0117,17.9442,62.65,72,0,7.43,clear sky
178,Pucallpa,PE,-8.3791,-74.5539,69.6,98,97,1.3,overcast clouds
179,San Andres,CO,12.5847,-81.7006,80.24,67,24,16.89,few clouds
180,Mishelevka,RU,52.8575,103.1719,25.36,79,99,13.58,overcast clouds
181,Kavieng,PG,-2.5744,150.7967,81.88,77,96,4.9,moderate rain
182,Ponta Do Sol,PT,32.6667,-17.1,60.06,67,43,7.05,scattered clouds
183,Aleksandrov Gay,RU,50.147,48.5704,33.91,95,100,13.6,overcast clouds
184,Longyearbyen,SJ,78.2186,15.6401,10.24,72,75,12.66,light snow
185,Izumo,JP,35.3667,132.7667,48.09,55,73,14.16,broken clouds
186,Saskylakh,RU,71.9167,114.0833,-13.11,87,62,3.76,broken clouds
187,Aracatuba,BR,-21.2089,-50.4328,71.64,83,19,4.0,few clouds
188,Ust-Tsilma,RU,65.441,52.1498,10.06,92,46,3.65,scattered clouds
189,Port Alfred,ZA,-33.5906,26.891,72.0,84,100,18.05,overcast clouds
190,Alindao,CF,5.0267,21.2088,75.27,21,98,3.22,overcast clouds
191,Labis,MY,2.385,103.021,73.78,96,99,1.66,overcast clouds
192,Havoysund,NO,70.9963,24.6622,40.55,95,100,43.93,overcast clouds
193,Paamiut,GL,61.994,-49.6678,1.31,76,100,8.32,overcast clouds
194,Manokwari,ID,-0.8667,134.0833,80.35,78,100,1.03,overcast clouds
195,Koumac,NC,-20.5667,164.2833,81.46,77,100,9.53,overcast clouds
196,Iqaluit,CA,63.7506,-68.5145,-14.31,86,100,11.95,overcast clouds
197,Kirkwood,US,38.5834,-90.4068,23.58,94,13,3.13,few clouds
198,Idar,DE,49.7167,7.3,30.27,88,6,7.05,clear sky
199,San Carlos De Bariloche,AR,-41.1456,-71.3082,45.75,92,70,11.63,broken clouds
200,Codrington,AU,-38.2667,141.9667,67.19,82,100,14.54,light rain
201,Mackay,AU,-21.15,149.2,82.99,72,6,7.52,clear sky
202,Voskresenskoye,RU,56.8381,45.4317,30.36,94,100,7.76,overcast clouds
203,Deniliquin,AU,-35.5333,144.9667,85.98,34,90,5.14,overcast clouds
204,Funadhoo,MV,6.15,73.2667,82.78,72,74,14.25,broken clouds
205,Betanzos,ES,43.2804,-8.2147,50.65,81,75,3.44,broken clouds
206,Fuling,CN,29.7022,107.3919,59.74,57,97,3.6,overcast clouds
207,Nalut,LY,30.3333,10.85,54.9,26,35,3.74,scattered clouds
208,Souillac,MU,-20.5167,57.5167,81.52,73,88,7.34,light rain
209,Yar-Sale,RU,66.8333,70.8333,25.45,95,100,18.23,light snow
210,Eresos,GR,39.1667,25.9333,49.93,71,68,11.36,broken clouds
211,Berlevag,NO,70.8578,29.0864,37.58,96,100,29.17,overcast clouds
212,Lososina,RU,48.9975,140.3106,21.83,64,25,13.73,scattered clouds
213,Vangaindrano,MG,-23.35,47.6,78.44,85,90,8.43,overcast clouds
214,Buraydah,SA,26.326,43.975,60.42,35,1,9.95,clear sky
215,Aksu,CN,41.1231,80.2644,46.13,31,100,2.04,overcast clouds
216,Bredasdorp,ZA,-34.5322,20.0403,72.28,80,48,12.41,scattered clouds
217,Nome,US,64.5011,-165.4064,27.66,95,98,15.46,overcast clouds
218,Fort Walton Beach,US,30.4058,-86.6188,60.1,85,75,4.61,broken clouds
219,Port Keats,AU,-14.25,129.55,82.63,80,95,12.48,overcast clouds
220,Port Augusta,AU,-32.5,137.7667,85.5,36,99,20.33,overcast clouds
221,Panguna,PG,-6.3164,155.4848,70.5,98,94,4.63,moderate rain
222,Khasan,RU,42.4308,130.6434,40.24,40,24,12.73,few clouds
223,Voyvozh,RU,62.892,54.9635,26.31,95,99,7.05,overcast clouds
224,Oktyabrskoye,RU,43.0645,44.7417,43.47,84,100,3.33,overcast clouds
225,Pathein,MM,16.7833,94.7333,97.92,14,5,5.03,clear sky
226,Lebu,CL,-37.6167,-73.65,56.73,91,20,5.17,few clouds
227,Abaza,RU,52.655,90.0928,29.03,64,51,6.04,broken clouds
228,Luganville,VU,-15.5333,167.1667,77.95,90,100,12.24,moderate rain
